lead_id,uf,cidade,segmento_interesse,orcamento_faixa,prazo_compra,status,n_events,n_page_view,n_hook_complete,n_cta_click,recency_last_event_hours,label_qualified
a484c6af-f02a-4509-a2b1-53a7f1647db4,GO,Rio Verde,EQUIPAMENTOS,60k+,90d,CURIOSO,2,1,1,0,1932.0800529875000000,0
80e25dfa-ffd0-4995-8d2f-4baf846035c5,SP,Sao Jose dos Campos,EQUIPAMENTOS,60k+,7d,ENVIADO,8,5,1,2,693.7467193763888889,1
447641a0-3e48-4e17-aa07-053b00bbfdbf,SP,Campinas,EVENTOS,20k-60k,90d,CURIOSO,1,1,0,0,1806.6967185430555556,0
2a18ab7f-fe0c-42d0-972d-d08b870676ed,SP,Sao Jose dos Campos,SERVICOS,5k-20k,7d,CURIOSO,2,2,0,0,268.7800518763888889,0
d4acd938-974e-45c2-a07c-e44c61fc6e47,GO,Rio Verde,SERVICOS,5k-20k,30d,CURIOSO,1,1,0,0,1536.6967182652777778,0
cb970bad-226d-4774-ad7a-df556af10e09,MG,Contagem,CAVALOS,0-5k,90d,ENVIADO,8,5,1,2,2833.6633846541666667,1
7d8e6f2c-d122-42ee-8575-f7247d167fe2,GO,Goiania,SERVICOS,20k-60k,30d,CURIOSO,1,1,0,0,2023.2467174319444444,0
fb0b80cf-c8b0-4c7a-a6e3-fdeb7ee243e2,SP,Sorocaba,CAVALOS,5k-20k,90d,QUALIFICADO,4,2,1,1,923.9133838208333333,1
06340589-a17e-4e25-9769-857928ab6815,GO,Aparecida de Goiania,CAVALOS,20k-60k,7d,QUALIFICADO,7,5,1,1,1167.8300502097222222,1
80ca9c21-f9ea-4d68-ba2d-b213f54bad76,MG,Mogi das Cruzes,CAVALOS,5k-20k,30d,AQUECENDO,3,1,1,1,144.3900276436111111,0
25d0ffb4-2947-49cc-8f75-b7db46ab0955,MG,"",CAVALOS,"","",AQUECENDO,9,3,3,3,189.5810069158333333,0
fbcbcb2c-ceea-4039-9c63-e56b3953724f,MG,Contagem,SERVICOS,60k+,30d,CURIOSO,1,1,0,0,2899.3633818763888889,0
c1c2a251-4805-4846-96c8-bb1092357a88,SP,Salto,EQUIPAMENTOS,0-5k,30d,ENVIADO,4,1,1,1,1.4125578519444444,1
f99227c5-9491-40ce-8176-57a4ac039059,MG,Belo Horizonte,EQUIPAMENTOS,5k-20k,90d,AQUECENDO,5,3,1,1,631.0467163208333333,0
ba029a3e-c565-42f6-85f8-d12d2d37e81d,MG,Belo Horizonte,EVENTOS,0-5k,30d,CURIOSO,2,2,0,0,2215.9633824319444444,0
