subclasse;subclasse_num7;denominacao;secao;divisao;grupo;classe;eh_mvp
0111-3/01;0111301;Cultivo de arroz;A;01;011;0111-3;NÃO
0111-3/02;0111302;Cultivo de milho;A;01;011;0111-3;NÃO
0111-3/03;0111303;Cultivo de trigo;A;01;011;0111-3;NÃO
0111-3/99;0111399;Cultivo de outros cereais não especificados anteriormente;A;01;011;0111-3;NÃO
0112-1/01;0112101;Cultivo de algodão herbáceo;A;01;011;0112-1;NÃO
0112-1/02;0112102;Cultivo de juta;A;01;011;0112-1;NÃO
0112-1/99;0112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;A;01;011;0112-1;NÃO
0113-0/00;0113000;Cultivo de cana-de-açúcar;A;01;011;0113-0;NÃO
0114-8/00;0114800;Cultivo de fumo;A;01;011;0114-8;NÃO
0115-6/00;0115600;Cultivo de soja;A;01;011;0115-6;NÃO
0116-4/01;0116401;Cultivo de amendoim;A;01;011;0116-4;NÃO
0116-4/02;0116402;Cultivo de girassol;A;01;011;0116-4;NÃO
0116-4/03;0116403;Cultivo de mamona;A;01;011;0116-4;NÃO
0116-4/99;0116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;A;01;011;0116-4;NÃO
0119-9/01;0119901;Cultivo de abacaxi;A;01;011;0119-9;NÃO
0119-9/02;0119902;Cultivo de alho;A;01;011;0119-9;NÃO
0119-9/03;0119903;Cultivo de batata-inglesa;A;01;011;0119-9;NÃO
0119-9/04;0119904;Cultivo de cebola;A;01;011;0119-9;NÃO
0119-9/05;0119905;Cultivo de feijão;A;01;011;0119-9;NÃO
0119-9/06;0119906;Cultivo de mandioca;A;01;011;0119-9;NÃO
0119-9/07;0119907;Cultivo de melão;A;01;011;0119-9;NÃO
0119-9/08;0119908;Cultivo de melancia;A;01;011;0119-9;NÃO
0119-9/09;0119909;Cultivo de tomate rasteiro;A;01;011;0119-9;NÃO
0119-9/99;0119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;A;01;011;0119-9;NÃO
0121-1/01;0121101;Horticultura, exceto morango;A;01;012;0121-1;NÃO
0121-1/02;0121102;Cultivo de morango;A;01;012;0121-1;NÃO
0122-9/00;0122900;Cultivo de flores e plantas ornamentais;A;01;012;0122-9;NÃO
0131-8/00;0131800;Cultivo de laranja;A;01;013;0131-8;NÃO
0132-6/00;0132600;Cultivo de uva;A;01;013;0132-6;NÃO
0133-4/01;0133401;Cultivo de açaí;A;01;013;0133-4;NÃO
0133-4/02;0133402;Cultivo de banana;A;01;013;0133-4;NÃO
